#ammo																																
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	CanPutInVest	MaxStack	MinAmmoAmount	MaxAmmoAmount	AmmoType	DmgType	DmgCritChance	RangeBonus	AccuracyMult	ScatterMult	DamageMult	BulletCastsPerShot	StatusEffectId	ChanceToApply	StatusDamageModifier	StatusResistModifier	Traits	ProjectileId	Disassembly						
*sawblade_ammo		Common Worker Miner	2	5	0.05	1	Ammo	TRUE	20	2	6	SawBlade	lacer	0.16	0	1	1	1.00	1		0	0	0	ricochet	disk	broken_weapon 2						
*sawblade_poison_ammo		Tianming	6	12	0.05	1	Ammo	TRUE	20	2	6	SawBlade	poison	0.12	0	1	1	1.00	1		0	0	0	ricochet corrosive	disk	sawblade_ammo 1 acid 1						
quasi_basic_ammo		Gannix Emeraldlight ChurchGannix	1	10	0.02	1	Ammo	TRUE	40	3	7	QuasiCells	poison	0.07	0	1	1	1.00	1		0	0	0		frost							
implicted_knife		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.15	0	1	1	1.00	1		0	0	0									
implicted_toxicknife		none	1	100	1	1	Ammo	TRUE	0	0	0	Toxic	poison	0.15	0	1	1	1.00	1		0	0.2	-0.3	wounding								
implicted_knife_backstab		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.4	0	1	1	1.00	1		0	0	0									
implicted_combat_knife		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.22	0	1	1	1.00	1		0	0	0									
implicted_club		none	1	100	1	1	Ammo	TRUE	0	0	0		blunt	0.16	0	1	1	1.00	1		0	0	0	heavy_knockdown								
implicted_club_back		none	1	100	1	1	Ammo	TRUE	0	0	0		blunt	0.16	0	1	1	1.00	1		0	0	0	heavy_knockdown heavy_knockback								
implicted_breaker		none	1	100	1	1	Ammo	TRUE	0	0	0	BatteryCells	blunt	0.09	0	1	1	1.00	1		0	0	0	heavy_knockdown								
implicted_breaker_back		none	1	100	1	1	Ammo	TRUE	0	0	0	BatteryCells	blunt	0.09	0	1	1	1.00	1		0	0	0	heavy_knockdown heavy_knockback armor_pen								
implicted_claw		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.22	0	1	1	1.00	1		0	0	0	wounding								
implicted_claw_back		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.22	0	1	1	1.00	1		0	0	0	wounding								
implicted_fireclub		none	1	100	1	1	Ammo	TRUE	0	0	0	Gas	blunt	0.16	0	1	1	1.00	1		0	0	0	heavy_incendiary heavy_knockdown								
implicted_shockclub		none	1	100	1	1	Ammo	TRUE	0	0	0	BatteryCells	blunt	0.16	0	1	1	1.00	1	shockEffect	1	0.5	-0.25	heavy_knockback								
implicted_heavy_axe		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.09	0	1	1	1.00	1		0	0	0									
implicted_axe_brutal		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.18	0	1	1	1.00	1		0	0	0	wounding								
implicted_sword		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.06	0	1	1	1.00	1		0	0	0									
implicted_katana		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.12	0	1	1	1.00	1		0	0	0									
implicted_sawblade		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.08	0	1	1	1.00	1		0	0	0	wounding								
implicted_sawblade_long		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.08	0	1	1	1.00	1		0	0	0	wounding								
implicted_drill_long		none	1	100	1	1	Ammo	TRUE	0	0	0	Gas	lacer	0.08	0	1	1	1.00	1		0	0	0	heavy_knockdown								
implicted_sword_laser		none	1	100	1	1	Ammo	TRUE	0	0	0	BatteryCells	beam	0.12	0	1	1	1.00	1		0	0	0									
implicted_sword_brutal		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.06	0	1	1	1.00	1		0	0	0	wounding								
implicted_katana_brutal		none	1	100	1	1	Ammo	TRUE	0	0	0		lacer	0.14	0	1	1	1.00	1		0	0	0	wounding								
implicted_body_part		none	1	100	1	1	Ammo	TRUE	0	0	0		blunt	0.03	0	1	1	1.00	1		0	0	0									
implicted_em_ammo		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.08	0	1	1	1.00	1		0	0	0	armor_pen	thermal							
implicted_em_blunt_ammo		none	1	100	1	1	Ammo	TRUE	0	0	0		blunt	0.04	0	1	1	1.00	1		0	0	0	heavy_knockback knockdown	sound							
implicted_mars_heavy		none	1	100	1	1	Ammo	TRUE	0	0	0		blunt	0.08	0	1	1	1.00	1		0	0	0	painful	heavy							
implicted_proton_charge		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	proton	0.1	0	1	1	1.00	1		0	0	0		ion_bullet							
implicted_disruptor_charge		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	poison	0.16	0	1	1	1.00	1	poisonEffect	0	0.4	-0.5	wounding	disruptor							
implicted_microwave_charge		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	fire	0.06	0	1	1	1.00	1		0	0	0	heavy_incendiary	microwave							
implicted_shockgun		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	shock	0.06	0	1	1	1.00	1		0	0	0		lighting							
implicted_matrix_disc		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	shock	0.1	0	1	1	1.00	1		0	0	0	ricochet	matrix							
implicted_matrix_staff		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	shock	0.03	0	1	1	1.00	1		0	0	0	heavy_knockdown heavy_knockback								
implicted_stungun		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	shock	0.03	0	1	1	1.00	1		0	0.8	0.2		lighting_small							
implicted_coldgun		none	1	100	1	1	Ammo	TRUE	0	10	20	BatteryCells	cold	0.08	0	1	1	1.00	1		0	0	0		tech_frost							
implicted_beam		none	1	100	1	1	Ammo	TRUE	40	10	20	BatteryCells	beam	0.08	0	1	1	1.00	1		0	0	0	incendiary	continues_laser							
implicted_superbeam		none	1	100	1	1	Ammo	TRUE	40	10	20	BatteryCells	beam	0.08	1	1	1	1.00	1		0	0.1	0	incendiary	continues_ultimate_ray							
implicted_pulse		none	1	100	1	1	Ammo	TRUE	40	10	20	BatteryCells	beam	0.12	0	1	1	1.00	1		0	0	0	incendiary	laser							
implicted_cryo_beam		none	1	100	1	1	Ammo	TRUE	40	10	20	BatteryCells	cryo	0.05	0	1	1	1.00	1		0	0	0		continues_cryolaser							
implicted_plasma_beam		none	1	100	1	1	Ammo	TRUE	40	10	20	Gas	plasma	0.12	0	1	1	1.00	1		0	0	0	heavy_incendiary armor_pen	melta_beam							
implicted_plasma_charge		none	1	100	1	1	Ammo	TRUE	40	10	20	BatteryCells	plasma	0.06	0	1	1	1.00	1		0	0	0	heavy_incendiary	plasma_charge							
implicted_toxic_shrapnel		none	1	100	1	1	Ammo	TRUE	50	10	20	Toxic	poison	0.12	0	1.3	2	1.00	5		0	0	0	wounding corrosive	toxic							
implicted_coldgun_shrapnel		none	1	100	1	1	Ammo	TRUE	50	10	20	BatteryCells	cold	0.12	0	1.3	2	1.00	5		0	0	0		tech_frost_shrapnel							
implicted_energy_shrapnel		none	1	100	1	1	Ammo	TRUE	50	10	20	BatteryCells	beam	0.12	0	1.3	2	1.00	5		0	0	0	incendiary	laser							
implicted_plasma_shrapnel		none	1	100	1	1	Ammo	TRUE	50	10	20	BatteryCells	plasma	0.12	0	1.3	2	1.00	4		0	0	0	incendiary	plasma_shrapnel							
implicted_nail_shrapnel		none	1	100	1	1	Ammo	TRUE	80	7	13	Bolts	pierce	0.24	0	1.4	2.5	1.00	4		0	0	0	knockback armor_pen	nail							
implicted_em_shrapnel		none	1	100	1	1	Ammo	TRUE	0	0	0		pierce	0.12	0	1.2	2	1.00	3		0	0	0	knockback armor_pen	thermal							
implicted_toxicthrower		none	1	100	1	1	Ammo	TRUE	0	0	0		poison	0	0	1	1	1.00	1		0	0	0	heavy_toxic	toxic_thrower							
implicted_flamethrower		none	1	100	1	1	Ammo	TRUE	0	0	0	Gas	fire	0	0	1	1	1.00	1		0	0	0	heavy_incendiary heavy_fires	flame_thrower							
implicted_extinguisher		none	1	100	1	1	Ammo	TRUE	0	0	0		cold	0	0	1	1	1.00	1		0	0	0	heavy_water	extinguisher_thrower							
implicted_quasi_beam		none	1	100	1	1	Ammo	TRUE	20	10	20	QuasiCells	beam	0.03	0	1	1	1.00	1		0	0	0		quasi_beam							
implicted_quasi_laser		none	1	100	1	1	Ammo	TRUE	20	10	20	QuasiCells	chaos	0.06	0	1	1	1.00	1		0	0	0		quasi_laser							
implicted_xiomara_range		none	1	100	1	1	Ammo	TRUE	0	0	0	QuasiCells	chaos	0.06	0	1	1	1.00	1		0	0	0		frost							
implicted_plasma_hfg		none	1	100	1	1	Ammo	TRUE	40	10	20	BatteryCells	plasma	0.06	0	1	1	1.00	1		0	0	0	explosive_hfg	hfg							
implicted_quasi_rocket		none	1	100	1	1	Ammo	TRUE	40	10	20	QuasiCells	chaos	0.03	0	1.1	1	1.00	1		0	0	0	explosive_quasi	tech_frost							
implicted_cattaram_flak		none	1	100	1	1	Ammo	TRUE	40	10	20		blunt	0.08	0	1	1	1.00	1		0	0	0	explosive_flak	heavy							
implicted_acid_spit		none	1	100	1	1	Ammo	TRUE	40	10	20		poison	0.08	0	1	1	1.00	1		0	0	0	heavy_toxic corrosive	toxic							
placeholder_ammo		none	1	100	1	1	Ammo	TRUE	0	0	0		blunt	0	0	1	1	1.00	1		0	0	0									
#end																																
