#trash																																
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	CanPutInVest	MaxStack	SubType	Disassembly																					
quest_red_chip			1	0	0.5	1	QuestItem	FALSE	4	QuestItem																						
quest_hacked_pcpu			1	0	0.5	1	QuestItem	FALSE	4	QuestItem																						
quest_comm_key			1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
phase_bomb			1	10	0.2	1	QuestItem	FALSE	3	QuestItem																						
quest_mask_guffaws		none	1	0	0.8	1	QuestItem	FALSE	1	QuestItem																						
quest_mask_snickers		none	1	0	0.8	1	QuestItem	FALSE	1	QuestItem																						
quest_mask_screams		none	1	0	0.8	1	QuestItem	FALSE	1	QuestItem																						
*quest_emp_turret			1	0	0.5	2	QuestItem	FALSE	1	QuestItem																						
quest_bomb_briefcase		none	1	0	0.5	1	QuestItem	TRUE	1	QuestItem																						
quest_andreev_emitter		none	1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
quest_hellstrom_index			1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
regular_food_container		Common	1	100	1.1	2	IndustrialBarter	FALSE	1	Container	ration_pack_1 3 ration_pack_2 3 soda_can_1 2 soda_can_2 2 water_bottle_1 3																					
military_food_container		Military	1	200	1.1	2	MilitaryBarter	FALSE	1	Container	chocolate_pack_1 1 canned_food_1 2 canned_food_2 2 mre_pack_1 2 water_bottle_1 2																					
luxury_food_container		Management	1	250	0.8	1	ValuableBarter	FALSE	2	Container	candy_1 2 luxury_canned_food_1 1 luxury_ration_pack_1 1 oil_bottle_1 1 luxury_ration_pack_2 1 energy_can_1 1 armagnac_bottle_1 2																					
water_container		Common Civilian Management	1	50	0.8	1	IndustrialBarter	FALSE	2	Container	water_bottle_1 12																					
alcohol_container		Common Miner	1	180	0.8	1	ValuableBarter	FALSE	2	Container	vodka_bottle_1 5 wiskey_bottle_1 5																					
regular_clothing_container		Common Civilian	1	80	2.1	1	IndustrialBarter	FALSE	2	Container	common_jacket_1 1 common_hybershirt_1 1 common_shirt_2 1 common_blouse_1 1 common_gasmask_1 1 common_glasses_1 1 common_hat_1 1 common_hat_3 1 common_reinforced_pants_1 1 common_hyber_pants_1 1 common_pants_2 1 common_pants_4 1 common_boots_1 1 common_sneakers_1 1 common_sneakers_2 1 small_backpack_1 1																					
miner_clothing_container		Miner	1	120	2.1	1	IndustrialBarter	FALSE	2	Container	miner_shirt_1 1 miner_reinforced_shirt_1 1 miner_medium_armor_1 1 miner_hard_cap_1 1 miner_hard_cap_2 1 miner_medium_helmet_1 1 miner_pants_1 1 miner_reinforced_pants_1 1 miner_medium_pants_1 1 miner_boots_1 1 miner_reinforced_boots_1 1 miner_medium_boots_1 1 servo_backpack_1 1																					
worker_clothing_container		Worker	1	140	2.1	1	IndustrialBarter	FALSE	2	Container	laborer_shirt_3 1 laborer_warm_shirt_1 1 laborer_medium_armor_1 1 laborer_hard_cap_1 1 laborer_warm_hat_1 1 laborer_medium_helmet_1 1 laborer_pants_2 1 laborer_warm_pants_1 1 laborer_medium_pants_1 1 laborer_boots_1 1 laborer_warm_boots_1 1 laborer_medium_boots_1 1 servo_backpack_1 1																					
scientist_clothing_container		Science	1	300	2.1	1	ScienceBarter	FALSE	2	Container	science_reinforced_shirt_1 1 science_chem_shirt_1 1 medical_medium_armor_1 1 science_gasmask_1 1 science_chem_helmet_1 1 medical_medium_helmet_1 1 science_reinforced_pants_1 1 science_chem_pants_1 1 medical_medium_pants_1 1 science_reinforced_boots_1 1 science_chem_boots_1 1 medical_medium_boots_1 1 medium_backpack_1 1																					
security_clothing_container		Security	1	250	2.1	1	MilitaryBarter	FALSE	2	Container	military_shirt_3 1 military_light_armor_1 1 police_reinforced_shirt_1 1 police_medium_armor_1 1 military_light_helmet_1 1 military_light_gasmask_1 1 police_cap_2 1 police_medium_helmet_1 1 military_pants_2 1 military_light_pants_1 1 police_pants_2 1 police_medium_pants_1 1 military_boots_1 1 military_light_boots_1 1 police_boots_2 1 police_medium_boots_1 1 military_common_vest_1 1																					
weapon_container		Security Military	1	380	1.2	1	MilitaryBarter	FALSE	2	Container	military_pistol_3 1 trucker_pistol_2 1 common_pistol_3 1 trucker_shotgun_2 1 military_shotgun_1 1 pmc_smg_4 1 fra_security_smg_2 1 military_assault_1 1 trucker_marksman_2 1 army_hmg_1 1 small_basic_ammo 80 rifle_basic_ammo 50 shotgun_shrapnel_ammo 50																					
armor_container		Security Military	1	400	1.2	1	MilitaryBarter	FALSE	2	Container	armored_vest_1 1 military_common_vest_1 1 armored_expanded_vest_1 1 military_light_armor_1 1 military_medium_armor_1 1 military_heavy_armor_1 1 military_light_gasmask_1 1 military_medium_helmet_1 1 military_heavy_helmet_1 1 military_light_pants_1 1 military_medium_pants_1 1 military_heavy_pants_1 1 military_light_boots_1 1 military_medium_boots_1 1 military_heavy_boots_1 1																					
tool_container		Worker Miner	1	280	1.2	1	IndustrialBarter	FALSE	2	Container	trash_sawblade_1 1 miner_breaker_1 1 worker_wrench_1 1 military_shovel_1 1 cor_worker_pistol_1 1 worker_discthrower_1 1 cor_worker_discthrower_1 1 worker_hmg_1 1 cor_worker_hmg_1 1 worker_flamethrower_1 1 gas_ammo 60 sawblade_ammo 30 nail_bolts_ammo 160																					
robot_parts_container		Worker Miner Science	1	365	1.9	1	IndustrialBarter	FALSE	2	Container	cyborg_drill 1 cyborg_recreation_blade 1 cyborg_battle_machinegun 1 cyborg_head 1 cyborg_chest 1 cyborg_guts 1 cyborg_knee 1 cyborg_hand 1 cyborg_leg 1 cyborg_recreation_head 1 cyborg_recreation_chest 1 cyborg_recreation_guts 1 cyborg_recreation_knee 1 cyborg_recreation_hand 1 cyborg_recreation_leg 1 cyborg_battle_head 1 cyborg_battle_chest 1 cyborg_battle_guts 1 cyborg_battle_knee 1 cyborg_battle_hand 1 cyborg_battle_leg 1																					
electrical_parts_container		Worker Miner Science	1	200	0.6	1	IndustrialBarter	FALSE	2	Container	microelectronics_parts 5 capacitor_parts 5 circuit_board 5 transformer 5 bulb 5 lens 5 wire 5 tech_repair_kit 1																					
military_parts_container		Worker Military Science	1	150	0.6	1	MilitaryBarter	FALSE	2	Container	battery_basic_ammo 40 small_burst_ammo 40 small_expansive_ammo 40 medium_basic_ammo 40 medium_police_ammo 40 rifle_basic_ammo 40 rifle_armorpierce_ammo 40 heavy_basic_ammo 30 shotgun_flechette_ammo 30 shotgun_explosion_ammo 30 explosives 4 armor_repair_kit 1 firearm_repair_kit 1 melee_repair_kit 1																					
engineering_parts_container		Worker Science	1	180	0.6	1	IndustrialBarter	FALSE	2	Container	weapon_parts 5 blunt_parts 5 pierce_parts 5 coarse_parts 5 spring 5 metal_tread 5 plastic 12 rubber 12 toxic_ammo 60 battery_basic_ammo 40 tape 2 engineering_repair_kit 1																					
ai_module		Military Science	1	250	0.2	1	MilitaryBarter	FALSE	10	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 2																					
communication_relay		Common Management	1	150	0.2	1	IndustrialBarter	FALSE	5	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 2																					
defibrillator_device							ScienceBarter	FALSE	1	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 2																					
robot_resurrect_device							ScienceBarter	FALSE	1	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 2																					
geoscanner_device		Worker Miner Management	1	220	0.3	1	ScienceBarter	FALSE	1	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 2																					
welding_machine_device		Worker Miner Management	1	220	0.3	1	IndustrialBarter	FALSE	1	BartherResource	rusty_plates 1 coarse_parts 1 rod_parts 1 metal_tread 1 wire 1																					
medical_equipment		Medical Science	1	350	1.9	2	ScienceBarter	FALSE	1	BartherResource	microelectronics_parts 1 capacitor_parts 1 metal_tread 1 wire 1 circuit_board 1 lens 1 transformer 1 bulb 1																					
scientific_equipment		Medical Science	1	400	1.8	2	ScienceBarter	FALSE	1	BartherResource	microelectronics_parts 1 capacitor_parts 1 metal_tread 1 wire 1 circuit_board 1 lens 1 transformer 1 bulb 1																					
mining_equipment		Miner	1	175	2.2	2	IndustrialBarter	FALSE	1	BartherResource	armor_plates 1 weapon_parts 1 blunt_parts 1 rusty_plates 1 coarse_parts 1 rod_parts 1 ceramite_plates 1 capacitor_parts 1 wire 1 transformer 1																					
construction_equipment		Worker	1	215	2.2	2	IndustrialBarter	FALSE	1	BartherResource	armor_plates 1 weapon_parts 1 blunt_parts 1 rusty_plates 1 coarse_parts 1 rod_parts 1 ceramite_plates 1 capacitor_parts 1 wire 1 transformer 1																					
chemical_analyzer		Science Medical	1	120	0.7	1	ScienceBarter	FALSE	1	BartherResource	microelectronics_parts 1 circuit_board 1 lens 1 transformer 1 bulb 1																					
hydraulic_pump		Worker Miner	1	160	0.8	1	IndustrialBarter	FALSE	1	BartherResource	rusty_plates 1 coarse_parts 1 rod_parts 1 metal_tread 1 wire 1																					
quasiresearch_disk		Military Science	1	360	0.1	1	ScienceBarter	FALSE	5	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 1																					
research_disk		Management Science	1	220	0.1	1	ScienceBarter	FALSE	5	BartherResource	microelectronics_parts 1 capacitor_parts 1 circuit_board 1 transformer 1 bulb 1 lens 1 wire 1 plastic 2																					
prototype_schematics		Science Worker Management	1	280	0.1	1	ScienceBarter	FALSE	10	BartherResource																						
quasisamples		Science Medical	1	200	0.7	1	ScienceBarter	FALSE	5	BartherResource	venus_guts 1 quasi_venus_rags 1 venus_weapon_parts 1 mercury_guts 1 mercury_rags 1 mercury_glass 1 moon_guts 1 moon_weapon_parts 1 moon_armor_plates 1 quasi_ron_medicine_1 1 cattaram_mine 1 skrivnus_knife 1 urparp_grenade 1																					
biomass_tank		Medical Science	1	60	1.3	1	ScienceBarter	FALSE	5	BartherResource	human_poop 5 human_meat 3 human_skin 1 dog_meat 1 dog_skin 1 dog_teeth 1 spider_meat 1 spider_brain 1 spider_eye 1																					
*precious_metals		Miner UnchainedBelt Shartamakhum Cattaram	1	400	1.2	1	ValuableBarter	FALSE	10	BartherResource																						
ore_cargo		Miner	1	130	2.4	1	IndustrialBarter	FALSE	10	BartherResource	rusty_plates 10 armor_plates 10 ceramite_plates 10																					
drug_cargo		Management Prison	1	250	0.5	1	ValuableBarter	FALSE	2	BartherResource	syringe_morphine 5 syringe_nanoinjection 2 syringe_adrenaline 2 syringe_naloxone 2 syringe_antidote 2																					
medical_components		Medical Science	1	320	1.1	1	ScienceBarter	FALSE	2	BartherResource	medical_kit_1 3 pills_antibiotics 2 pills_antiradin 2 pills_fibromine 2 pills_cryopentol 2 pills_tranexam 2 pills_osteodron 2 plaster 2 medical_glue 2 mustard_patch 2 goldenstar_balm 2																					
watermelon		Management	1	120	0.2	1	Food	FALSE	5	Container	watermelon_slice 6																					
#end																																
