#explosions																												
Id		Parameters.VisualExplosion	Parameters.Radius	Parameters.DistanceDamageFalloff	Parameters.GainDmgToCreature	Parameters.SelfDamaging	Parameters.GainDmgToLocation	Parameters.GainDmgToMonolith	Parameters.Damage	Parameters.DamageType	Parameters.WoundChance	Parameters.Throwback	Parameters.ThrowbackChance	Parameters.ThrowbackDependOnRadius	Parameters.Stun	Parameters.StunChance	Parameters.StunDuration	Parameters.StunDependOnRadius	Parameters.PropagateFire	Parameters.PropagateFireChance	Parameters.LargeFireChance	Parameters.FireDependOnRadius	Parameters.PropagateLiquid	Parameters.LiquidType	Parameters.Disintegrate	Parameters.PropagateGas	Parameters.GasType	Parameters.GasStrength
heart_explosion		FALSE	0	1	TRUE	TRUE	FALSE	FALSE	10	blunt	0.1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Red	FALSE	FALSE	Smoke	Weak
bloodBarrel_explosion		TRUE	1	1	FALSE	TRUE	FALSE	FALSE	0	blunt	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Red	FALSE	FALSE	Smoke	Weak
fuel_barrel_explosion		TRUE	2	2	TRUE	TRUE	FALSE	FALSE	40	fire	0.2	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0.8	30	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
toxic_barrel_explosion		TRUE	2	1	TRUE	FALSE	FALSE	FALSE	40	poison	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Toxic	FALSE	FALSE	Smoke	Weak
frost_barrel_explosion		TRUE	2	2	TRUE	TRUE	FALSE	FALSE	50	cold	0.8	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Water	FALSE	FALSE	Smoke	Weak
cargo_explosion		TRUE	3	1	TRUE	TRUE	TRUE	FALSE	90	explosion	1.4	TRUE	1	TRUE	FALSE	0	0	FALSE	TRUE	0.2	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
frag_low_explosion		TRUE	2	2	TRUE	TRUE	TRUE	FALSE	90	explosion	0.7	TRUE	0.6	TRUE	FALSE	0	0	FALSE	TRUE	0.03	6	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
thermal_low_explosion		FALSE	1	2	FALSE	TRUE	FALSE	FALSE	10	fire	0	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0.7	55	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
smoke_explosion		FALSE	2	1	FALSE	FALSE	FALSE	FALSE	0	explosion	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Smoke	Strong
smoke_low_explosion		FALSE	2	1	FALSE	FALSE	FALSE	FALSE	0	fire	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Flammable	Strong
smoke_toxic_explosion		FALSE	2	1	FALSE	FALSE	FALSE	FALSE	0	poison	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Toxic	Strong
smoke_frost_explosion		FALSE	2	1	FALSE	FALSE	FALSE	FALSE	0	cold	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Cold	Strong
toxic_explosion		TRUE	2	2	TRUE	TRUE	FALSE	FALSE	60	poison	0.2	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Toxic	FALSE	FALSE	Smoke	Weak
frost_explosion		TRUE	2	3	TRUE	TRUE	FALSE	FALSE	120	cold	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Ice	FALSE	FALSE	Smoke	Weak
urparp_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	75	plasma	0.5	TRUE	0.3	FALSE	FALSE	0	0	FALSE	TRUE	0.6	0	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
thermal_big_explosion		FALSE	4	3	TRUE	TRUE	FALSE	FALSE	40	fire	0.2	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0.85	70	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
nano_explosion		FALSE	1	1	TRUE	TRUE	TRUE	FALSE	20	lacer	0	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0	0	FALSE	FALSE	Red	TRUE	TRUE	Nano	Strong
phase_explosion		TRUE	4	2	TRUE	TRUE	TRUE	TRUE	150	chaos	0.4	TRUE	0.5	FALSE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
fake_explosion		TRUE	3	1	TRUE	TRUE	TRUE	FALSE	90	explosion	0.7	TRUE	0.5	FALSE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
orbital_explosion		TRUE	4	1	TRUE	TRUE	TRUE	FALSE	125	explosion	0.5	TRUE	1	TRUE	TRUE	1	1	TRUE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
knife_explosion		FALSE	0	1	TRUE	TRUE	FALSE	FALSE	60	pierce	2	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
skrivnus_explosion		FALSE	0	1	TRUE	TRUE	TRUE	FALSE	90	lacer	3	FALSE	1	FALSE	TRUE	1	1	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
hfg_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	300	plasma	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	TRUE	FALSE	Smoke	Weak
flak_low_explosion		TRUE	1	3	TRUE	TRUE	FALSE	FALSE	18	explosion	1.2	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
flak_explosion		TRUE	2	2	TRUE	TRUE	FALSE	FALSE	55	pierce	1.4	TRUE	0.2	TRUE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
shotgun_explosion		TRUE	2	1	TRUE	TRUE	TRUE	FALSE	45	explosion	1.2	TRUE	0.3	TRUE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
rocket_basic_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	90	explosion	1.2	TRUE	0.75	TRUE	FALSE	0	0	FALSE	TRUE	0.05	10	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
rocket_fire_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	75	fire	0.8	TRUE	0.1	FALSE	FALSE	0	0	FALSE	TRUE	0.65	45	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
rocket_poison_explosion		TRUE	2	2	TRUE	TRUE	FALSE	FALSE	50	poison	2	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Toxic	FALSE	FALSE	Smoke	Weak
rocket_nuke_explosion		TRUE	4	2	TRUE	TRUE	TRUE	FALSE	100	beam	1.2	TRUE	0.75	TRUE	FALSE	0	0	FALSE	TRUE	0.05	10	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
rocket_quasi_explosion		TRUE	2	3	TRUE	TRUE	TRUE	FALSE	85	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0.25	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
cortex_bomb_explosion		TRUE	5	2	TRUE	TRUE	TRUE	FALSE	150	explosion	1.5	TRUE	0.5	FALSE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
seismic_explosion		TRUE	4	1	TRUE	FALSE	TRUE	FALSE	80	blunt	1	TRUE	0.9	FALSE	TRUE	0.6	1	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
field_emitter_explosion		TRUE	5	2	TRUE	FALSE	FALSE	FALSE	12	shock	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
ultravoice_explosion		TRUE	5	2	FALSE	FALSE	FALSE	FALSE	0	shock	0	FALSE	0	FALSE	TRUE	1	4	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
magnetic_generator_explosion		TRUE	5	1	FALSE	FALSE	FALSE	FALSE	0	shock	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
crystal_explosion		TRUE	1	3	TRUE	TRUE	TRUE	FALSE	80	explosion	1.4	TRUE	1	FALSE	TRUE	0.5	1	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
shards_explosion		TRUE	1	3	TRUE	TRUE	TRUE	FALSE	80	explosion	1.4	TRUE	1	FALSE	TRUE	0.5	1	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
bone_explosion		TRUE	1	3	TRUE	TRUE	TRUE	FALSE	55	pierce	0.7	TRUE	0.2	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Red	FALSE	FALSE	Smoke	Weak
spike_explosion		TRUE	0	1	TRUE	TRUE	FALSE	FALSE	55	pierce	0.7	TRUE	0.2	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Red	FALSE	FALSE	Smoke	Weak
blood_blast_explosion		TRUE	1	2	TRUE	TRUE	TRUE	FALSE	15	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
blood_mine_explosion		TRUE	1	2	TRUE	TRUE	TRUE	FALSE	40	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
blood_spike_explosion		TRUE	0	1	TRUE	TRUE	FALSE	FALSE	65	pierce	2	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
mars_explosion		TRUE	2	3	TRUE	TRUE	TRUE	FALSE	75	plasma	1.2	TRUE	0.6	TRUE	FALSE	0.7	2	TRUE	TRUE	0.8	50	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
mars_big_explosion		TRUE	4	2	TRUE	TRUE	TRUE	FALSE	120	explosion	1.2	TRUE	0.8	TRUE	FALSE	0.85	2	TRUE	TRUE	0.85	45	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
shatter_explosion		TRUE	3	1	TRUE	TRUE	TRUE	FALSE	100	explosion	1.2	TRUE	0.8	TRUE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
translocation_explosion		TRUE	2	3	TRUE	TRUE	TRUE	FALSE	65	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
meteor_explosion		TRUE	2	3	TRUE	TRUE	TRUE	FALSE	65	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
vortex_explosion		TRUE	3	1	TRUE	TRUE	TRUE	FALSE	40	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
spore_explosion		TRUE	3	1	TRUE	TRUE	FALSE	FALSE	35	poison	0.4	FALSE	0	FALSE	TRUE	0.85	1	TRUE	FALSE	0	0	FALSE	FALSE	Toxic	FALSE	FALSE	Smoke	Weak
pandemic_explosion		TRUE	3	1	TRUE	TRUE	FALSE	FALSE	35	poison	0.4	FALSE	0	FALSE	TRUE	0.85	1	TRUE	FALSE	0	0	FALSE	FALSE	Toxic	FALSE	FALSE	Smoke	Weak
ron_explosion		TRUE	4	3	TRUE	FALSE	FALSE	FALSE	60	shock	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
orb_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	85	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
impaler_explosion		TRUE	0	1	TRUE	TRUE	TRUE	FALSE	55	pierce	0.7	TRUE	0.2	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	TRUE	Red	FALSE	FALSE	Smoke	Weak
gas_tank_explosion		TRUE	4	0	TRUE	TRUE	FALSE	FALSE	0	explosion	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Flammable	Strong
matrix_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	85	shock	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
darkness_explosion		FALSE	3	1	FALSE	FALSE	FALSE	FALSE	0	chaos	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Smoke	Strong
static_explosion		FALSE	4	1	FALSE	FALSE	FALSE	FALSE	0	chaos	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Shock	Strong
icicle_explosion		FALSE	1	1	FALSE	FALSE	FALSE	FALSE	0	cold	0	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	FALSE	Red	FALSE	TRUE	Cold	Strong
#end																												
